_id,year,region,oil_displacement_mbd,electricity_demand_gwh,value
64bf25c3f9a9ebc9a7466582,2010,USA,0.00032,96,0.00032
64bf25c3f9a9ebc9a7466583,2011,USA,0.00064,260,0.00064
64bf25c3f9a9ebc9a7466584,2012,USA,0.0032,300,0.0032
64bf25c3f9a9ebc9a7466585,2013,USA,0.0045,1100,0.0045
64bf25c3f9a9ebc9a7466586,2014,USA,0.017000001,820,0.017000001
64bf25c3f9a9ebc9a7466587,2015,USA,0.011,3800,0.011
64bf25c3f9a9ebc9a7466588,2016,USA,0.028999999,3500,0.028999999
64bf25c3f9a9ebc9a7466589,2017,USA,0.018999999,7500,0.018999999
64bf25c3f9a9ebc9a746658a,2018,USA,0.057999998,5000,0.057999998
64bf25c3f9a9ebc9a746658b,2019,USA,0.039000001,13000,0.039000001
64bf25c3f9a9ebc9a746658c,2020,USA,0.043000001,5400,0.043000001
64bf25c3f9a9ebc9a746658d,2021,USA,0.068999998,6500,6500
64bf25c3f9a9ebc9a746658e,2022,USA,0.109999999,15000,0.109999999
