State, Registration Count ,
Alabama," 4,750 ",
Alaska," 1,290 ",
Arizona," 40,740 ",
Arkansas," 2,390 ",
California," 563,070 ",
Colorado," 37,000 ",
Connecticut," 13,350 ",
Delaware," 3,010 ",
District of Columbia," 3,700 ",
Florida," 95,640 ",
Georgia," 34,020 ",
Hawaii," 14,220 ",
Idaho," 3,500 ",
Illinois," 36,520 ",
Indiana," 10,360 ",
Iowa," 3,660 ",
Kansas," 4,500 ",
Kentucky," 4,220 ",
Louisiana," 3,180 ",
Maine," 3,040 ",
Maryland," 25,630 ",
Massachusetts," 30,470 ",
Michigan," 17,460 ",
Minnesota," 15,000 ",
Mississippi," 1,310 ",
Missouri," 10,050 ",
Montana," 1,650 ",
Nebraska," 2,710 ",
Nevada," 17,380 ",
New Hampshire," 4,000 ",
New Jersey," 47,830 ",
New Mexico," 4,150 ",
New York," 51,870 ",
North Carolina," 25,190 ",
North Dakota, 380 ,
Ohio," 21,200 ",
Oklahoma," 7,080 ",
Oregon," 30,290 ",
Pennsylvania," 26,770 ",
Rhode Island," 2,550 ",
South Carolina," 7,440 ",
South Dakota, 680 ,
Tennessee," 12,160 ",
Texas," 80,900 ",
Utah," 16,480 ",
Vermont," 3,370 ",
Virginia," 30,660 ",
Washington," 66,810 ",
West Virginia," 1,010 ",
Wisconsin," 9,330 ",
Wyoming, 510 ,
